Name,Date,Violation,Address,CountyName,CountyValue
GIANT PIZZA,"March 9, 2019",Warning Issued,"GIANT PIZZA 7019 Taft St, Hollywood (Broward county), FL, 33024",Broward,broward
TUCKER DUKE'S LUNCHBOX,"March 9, 2019",Warning Issued,"TUCKER DUKE'S LUNCHBOX 1101 S Powerline Rd, Deerfield Beach (Broward county), FL, 33442",Broward,broward
HARDY PARK BISTRO,"March 8, 2019",Warning Issued,"HARDY PARK BISTRO 21 Sw 7 St, Fort Lauderdale (Broward county), FL, 33301",Broward,broward
CAFE VICO,"March 8, 2019",Warning Issued,"CAFE VICO 1125 N Federal Hwy, Fort Lauderdale (Broward county), FL, 33304",Broward,broward
PAPA JOHNS PIZZA #474,"March 8, 2019",Administrative complaint recommended,"PAPA JOHNS PIZZA #474 2900 Sr 7, Lauderdale Lakes (Broward county), FL, 33313",Broward,broward
SARALY'S CATERING & MULTISERVICES LLC,"March 8, 2019",Warning Issued,"SARALY'S CATERING & MULTISERVICES LLC 5007 N Hiatus Rd, Sunrise (Broward county), FL, 33351",Broward,broward
CHINA STAR,"March 8, 2019",Call Back - Admin. complaint recommended,"CHINA STAR 2730 W Davie Blvd, Fort Lauderdale (Broward county), FL, 33312",Broward,broward
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,"March 8, 2019",Administrative complaint recommended,"GOLDEN KRUST CARIBBEAN BAKERY & GRILL 5711 N University Dr, Tamarac (Broward county), FL, 33321",Broward,broward
FLAVORS CARIBBEAN RESTAURANT,"March 8, 2019",Warning Issued,"FLAVORS CARIBBEAN RESTAURANT 107 Se 10 St, Deerfield Beach (Broward county), FL, 33441",Broward,broward
ANOTHER BROKEN EGG CAFA,"March 8, 2019",Warning Issued,"ANOTHER BROKEN EGG CAFA 175 N Hiatus Rd Ste #302, Pembroke Pines (Broward county), FL, 33026",Broward,broward
SUVOI,"March 8, 2019",Warning Issued,"SUVOI 5007 N Hiatus Rd, Sunrise (Broward county), FL, 33351",Broward,broward
MINI PITA,"March 8, 2019",Warning Issued,"MINI PITA 1019 Sr 84, Fort Lauderdale (Broward county), FL, 33315",Broward,broward
SALSA FIESTA II,"March 8, 2019",Call Back - Admin. complaint recommended,"SALSA FIESTA II 14914 Pines Blvd, Pembroke Pines (Broward county), FL, 33027",Broward,broward
LALO & JENN'S KITCHEN,"March 8, 2019",Administrative complaint recommended,"LALO & JENN'S KITCHEN 827 E Oakland Park Blvd, Oakland Park (Broward county), FL, 33334",Broward,broward
SHENANIGAN'S,"March 8, 2019",Warning Issued,"SHENANIGAN'S 3303 Sheridan St, Hollywood (Broward county), FL, 33021-3606",Broward,broward
SALS ITALIAN RISTORANTE,"March 8, 2019",Warning Issued,"SALS ITALIAN RISTORANTE 15717 Pines Blvd Ste C-5, Pembroke Pines (Broward county), FL, 33027",Broward,broward
COTUFA KITCHEN,"March 8, 2019",Warning Issued,"COTUFA KITCHEN 915 Middle River Dr #110, Fort Lauderdale (Broward county), FL, 33304",Broward,broward
ANGELO ELIA PIZZA BAR TAPAS,"March 8, 2019",Call Back - Admin. complaint recommended,"ANGELO ELIA PIZZA BAR TAPAS 1370 Weston Rd, Weston (Broward county), FL, 33326",Broward,broward
CAFE 54,"March 8, 2019",Warning Issued,"CAFE 54 3135 W Broward Blvd, Fort Lauderdale (Broward county), FL, 33312",Broward,broward
WYNDHAM DEERFIELD BEACH RESORT #00450,"March 8, 2019",Warning Issued,"WYNDHAM DEERFIELD BEACH RESORT #00450 2096 Ne 2 St, Deerfield Beach (Broward county), FL, 33441",Broward,broward
JADE FLOWER,"March 8, 2019",Warning Issued,"JADE FLOWER 3105 W Broward Blvd, Fort Lauderdale (Broward county), FL, 33312-1110",Broward,broward
GELATO-GO,"March 7, 2019",Administrative complaint recommended,"GELATO-GO 1221 E Las Olas Blvd, Fort Lauderdale (Broward county), FL, 33301",Broward,broward
CORAL SPRINGS GYM CONCESSION,"March 7, 2019",Warning Issued,"CORAL SPRINGS GYM CONCESSION 2501 Coral Springs Dr, Coral Springs (Broward county), FL, 33065",Broward,broward
HEALTHY KITCHEN,"March 7, 2019",Warning Issued,"HEALTHY KITCHEN 3834 N University Dr, Sunrise (Broward county), FL, 33351",Broward,broward
SUBLICIOUS,"March 7, 2019",Warning Issued,"SUBLICIOUS 10215 Stirling Rd, Cooper City (Broward county), FL, 33328",Broward,broward
SALSA FIESTA II,"March 7, 2019",Administrative complaint recommended,"SALSA FIESTA II 14914 Pines Blvd, Pembroke Pines (Broward county), FL, 33027",Broward,broward
TAQUERIA EL PAISA INC,"March 7, 2019",Warning Issued,"TAQUERIA EL PAISA INC 2500 Davie Blvd, Fort Lauderdale (Broward county), FL, 33312",Broward,broward
FERN GULLY GRILL INC #3,"March 7, 2019",Warning Issued,"FERN GULLY GRILL INC #3 1166 N State Rd 7, Lauderhill (Broward county), FL, 33313",Broward,broward
LE JARDIN INTERNATIONAL RESTAURANT,"March 7, 2019",Call Back - Admin. complaint recommended,"LE JARDIN INTERNATIONAL RESTAURANT 1460 N Sr 7, Lauderhill (Broward county), FL, 33313",Broward,broward
CHINA STAR,"March 7, 2019",Warning Issued,"CHINA STAR 2730 W Davie Blvd, Fort Lauderdale (Broward county), FL, 33312",Broward,broward
PIMAN,"March 7, 2019",Warning Issued,"PIMAN 1560 Ne 4 Ave, Fort Lauderdale (Broward county), FL, 33304",Broward,broward
LE JARDIN INTERNATIONAL RESTAURANT,"March 6, 2019",Warning Issued,"LE JARDIN INTERNATIONAL RESTAURANT 1460 N Sr 7, Lauderhill (Broward county), FL, 33313",Broward,broward
TAMARA CARIBBEAN KITCHEN,"March 6, 2019",Warning Issued,"TAMARA CARIBBEAN KITCHEN 4711 Nw 14 St, Lauderhill (Broward county), FL, 33313",Broward,broward
STRYKER,"March 6, 2019",Warning Issued,"STRYKER 505 Nw 65 Court, Fort Lauderdale (Broward county), FL, 33309",Broward,broward
MONSTER SUBS,"March 6, 2019",Call Back - Admin. complaint recommended,"MONSTER SUBS 1978 E Sunrise Blvd, Fort Lauderdale (Broward county), FL, 33304-1462",Broward,broward
NINE SPICES HOT POT,"March 6, 2019",Warning Issued,"NINE SPICES HOT POT 6820 Stirling Road, Davie (Broward county), FL, 33024",Broward,broward
PEI WEI FRESH KITCHEN #0081,"March 6, 2019",Warning Issued,"PEI WEI FRESH KITCHEN #0081 4517 Weston Rd, Weston (Broward county), FL, 33331",Broward,broward
THE BBQ AT THE SWAP SHOP,"March 6, 2019",Administrative complaint recommended,"BBQ AT THE SWAP SHOP 3291 W Sunrise Blvd, Lauderhill (Broward county), FL, 33311",Broward,broward
PIZZA FUSION,"March 6, 2019",Administrative complaint recommended,"PIZZA FUSION 2378 Weston Rd Unit M, Weston (Broward county), FL, 33326",Broward,broward
LA PEQUENA COLOMBIA,"March 6, 2019",Warning Issued,"LA PEQUENA COLOMBIA 1300 Sw 160 Ave Ste H-1, Sunrise (Broward county), FL, 33326",Broward,broward
YEUNG HOUSE,"March 6, 2019",Warning Issued,"YEUNG HOUSE 1747 N Federal Hwy, Fort Lauderdale (Broward county), FL, 33305",Broward,broward
LITTLE CAESAR'S,"March 6, 2019",Warning Issued,"LITTLE CAESAR'S 6860 Dykes Rd, Fort Lauderdale (Broward county), FL, 33331",Broward,broward
LITTLE HAVANA RESTAURANT,"March 6, 2019",Warning Issued,"LITTLE HAVANA RESTAURANT 721 S Federal Hwy, Deerfield Beach (Broward county), FL, 33441",Broward,broward
PIZZA & BREW,"March 6, 2019",Emergency order recommended,"PIZZA & BREW 53 Ne 44 St, Oakland Park (Broward county), FL, 33334",Broward,broward
TERESA'S KITCHEN,"Feb. 5, 2019",Warning Issued,"TERESA'S KITCHEN 16201 Se River St, Blountstown (Calhoun county), FL, 32424",Calhoun,calhoun
MATTIES LLC,"Jan. 28, 2019",Warning Issued,"MATTIES LLC 17415 Main St N, Blountstown (Calhoun county), FL, 32424",Calhoun,calhoun
MCDONALD'S,"Jan. 28, 2019",Warning Issued,"MCDONALD'S 20495 Central Ave W, Blountstown (Calhoun county), FL, 32424",Calhoun,calhoun
SANDBAR & GRILLE,"Jan. 28, 2019",Warning Issued,"SANDBAR & GRILLE 17932 Main St N #1, Blountstown (Calhoun county), FL, 32424",Calhoun,calhoun
EL JALISCO MEXICAN RESTAURANT 2,"Jan. 28, 2019",Warning Issued,"EL JALISCO MEXICAN RESTAURANT 2 16919 Ne Pear St, Blountstown (Calhoun county), FL, 32424",Calhoun,calhoun
BURGER KING #11692,"Jan. 22, 2019",Warning Issued,"BURGER KING #11692 20407 W Central Ave, Blountstown (Calhoun county), FL, 32424",Calhoun,calhoun
SUBWAY # 371,"Jan. 22, 2019",Warning Issued,"SUBWAY # 371 20521 W Central Ave, Blountstown (Calhoun county), FL, 32424",Calhoun,calhoun
RUBY TUESDAY RESTAURANT 2106,"March 14, 2019",Warning Issued,"RUBY TUESDAY RESTAURANT 2106 1441 Tamiami Trl #995, Port Charlotte (Charlotte county), FL, 33948",Charlotte,charlotte
BEEF O BRADY'S,"March 12, 2019",Warning Issued,"BEEF O BRADY'S 1951 S Mccall Rd Ste# 700, Englewood (Charlotte county), FL, 34223",Charlotte,charlotte
MAPLE LEAF CC RESTAURANT,"March 8, 2019",Warning Issued,"MAPLE LEAF CC RESTAURANT 2100 Kings Hwy, Pt Charlotte (Charlotte county), FL, 339804258",Charlotte,charlotte
MAPLE LEAF SANDBAR,"March 8, 2019",Warning Issued,"MAPLE LEAF SANDBAR 2100 Kings Hwy, Port Charlotte (Charlotte county), FL, 339804258",Charlotte,charlotte
SUBWAY,"March 8, 2019",Warning Issued,"SUBWAY 5001 Taylor Road, Punta Gorda (Charlotte county), FL, 33950",Charlotte,charlotte
BUFFALO WINGS AND RINGS,"March 7, 2019",Warning Issued,"BUFFALO WINGS AND RINGS 1020 El Jobean Rd, Port Charlotte (Charlotte county), FL, 33948",Charlotte,charlotte
MEAN JEANNE'S RIVERSIDE RESTAURANT,"March 6, 2019",Warning Issued,"MEAN JEANNE'S RIVERSIDE RESTAURANT 22637 Bayshore Rd, Port Charlotte (Charlotte county), FL, 33980",Charlotte,charlotte
THE CREPE CHEF,"March 4, 2019",Warning Issued,"THE CREPE CHEF 119 Tamiami Trail Unit #G, Port Charlotte (Charlotte county), FL, 33953",Charlotte,charlotte
LA FAMILIA RESTAURANT & PIZZERIA INC,"Feb. 27, 2019",Warning Issued,"LA FAMILIA RESTAURANT & PIZZERIA INC 992 Tamiami Trl Ste F, Port Charlotte (Charlotte county), FL, 33953",Charlotte,charlotte
LE LAMBI RESTAURANT,"Feb. 27, 2019",Call Back - Admin. complaint recommended,"LE LAMBI RESTAURANT 2395 Tamiami Trail Ste 204, Port Charlotte (Charlotte county), FL, 33952",Charlotte,charlotte
PC'S FISH HOUSE,"Feb. 23, 2019",Warning Issued,"PC'S FISH HOUSE 3821 Tamiami Trl Ste A, Port Charlotte (Charlotte county), FL, 33952",Charlotte,charlotte
CHARLOTTE HARBOR YACHT CLUB,"Feb. 21, 2019",Warning Issued,"CHARLOTTE HARBOR YACHT CLUB 4400 Lister St, Port Charlotte (Charlotte county), FL, 339529761",Charlotte,charlotte
SONNY'S REAL PIT BBQ #20,"Feb. 20, 2019",Warning Issued,"SONNY'S REAL PIT BBQ #20 1152 Tamiami Trl, Pt Charlotte (Charlotte county), FL, 33953",Charlotte,charlotte
SNACK SHAC,"March 16, 2019",Warning Issued,"SNACK SHAC 6373 S Suncoast Blvd #1, Homosassa (Citrus county), FL, 34446",Citrus,citrus
LOS MAGUEYES MEXICAN RESTAURANT OF CRYSTAL RIVER INC,"March 14, 2019",Warning Issued,"LOS MAGUEYES MEXICAN RESTAURANT OF CRYSTAL RIVER INC 6875 W Gulf To Lake Hwy, Crystal River (Citrus county), FL, 34429",Citrus,citrus
MACRAE'S OF HOMOSASSA,"March 13, 2019",Warning Issued,"MACRAE'S OF HOMOSASSA 5300 S Cherokee Way, Homosassa (Citrus county), FL, 34448",Citrus,citrus
GREENHOUSE BISTRO,"March 8, 2019",Warning Issued,"GREENHOUSE BISTRO 2420 S Suncoast Blvd, Homosassa (Citrus county), FL, 34448",Citrus,citrus
THE OLIVE TREE,"March 8, 2019",Warning Issued,"OLIVE TREE 963 N Suncoast Blvd, Crystal River (Citrus county), FL, 34428",Citrus,citrus
KENTUCKY FRIED CHICKEN,"March 7, 2019",Warning Issued,"KENTUCKY FRIED CHICKEN 849 Se Us 19, Crystal River (Citrus county), FL, 34429",Citrus,citrus
MANATEE LANES,"March 7, 2019",Warning Issued,"MANATEE LANES 7715 Gulf To Lake Hwy, Crystal River (Citrus county), FL, 344297929",Citrus,citrus
PECK'S OLD PORT COVE,"March 7, 2019",Warning Issued,"PECK'S OLD PORT COVE 139 N Ozello Trl, Crystal River (Citrus county), FL, 34429",Citrus,citrus
LOLLYGAGGERS,"March 7, 2019",Call Back - Admin. complaint recommended,"LOLLYGAGGERS 744 Se Us Hwy 19, Crystal River (Citrus county), FL, 34429",Citrus,citrus
BURGER KING #2676,"March 5, 2019",Warning Issued,"BURGER KING #2676 125 Ne Us Hwy 19, Crystal River (Citrus county), FL, 34429",Citrus,citrus
KENTUCKY FRIED CHICKEN,"March 4, 2019",Emergency order recommended,"KENTUCKY FRIED CHICKEN 849 Se Us 19, Crystal River (Citrus county), FL, 34429",Citrus,citrus
SOUTHERN WOODS GOLF CLUB,"Feb. 28, 2019",Warning Issued,"SOUTHERN WOODS GOLF CLUB 1501 Corkwood Blvd, Homosassa (Citrus county), FL, 344466519",Citrus,citrus
MANATEE LANES,"Feb. 28, 2019",Warning Issued,"MANATEE LANES 7715 Gulf To Lake Hwy, Crystal River (Citrus county), FL, 344297929",Citrus,citrus
MOTOR CITY PASTA COMPANY,"Feb. 27, 2019",Warning Issued,"MOTOR CITY PASTA COMPANY 108 W Main St, Inverness (Citrus county), FL, 34450",Citrus,citrus
MICKEYS BAR & BILLIARDS,"Feb. 25, 2019",Administrative complaint recommended,"MICKEYS BAR & BILLIARDS 770 Ne 5th St, Crystal River (Citrus county), FL, 34429",Citrus,citrus
BIG TONYS HIDE OUT AT CASTAWAYS,"Feb. 25, 2019",Warning Issued,"BIG TONYS HIDE OUT AT CASTAWAYS 5430 N Suncoast Blvd, Crystal River (Citrus county), FL, 34428",Citrus,citrus
NATURES RESORT,"Feb. 22, 2019",Administrative complaint recommended,"NATURES RESORT 10359 W Halls River Rd, Homosassa (Citrus county), FL, 34448",Citrus,citrus
THE OLIVE TREE,"Feb. 21, 2019",Warning Issued,"OLIVE TREE 963 N Suncoast Blvd, Crystal River (Citrus county), FL, 34428",Citrus,citrus
BACKWATER FINS,"Feb. 20, 2019",Warning Issued,"BACKWATER FINS 13982 W Ozello Trl, Crystal River (Citrus county), FL, 34429",Citrus,citrus
MELLOW MUSHROOM PIZZA BAKERS,"March 13, 2019",Warning Issued,"MELLOW MUSHROOM PIZZA BAKERS 1800 Town Center Blvd, Fleming Island (Clay county), FL, 32003",Clay,clay
LA NOPALERA MEXICAN RESTAURANT INC,"March 12, 2019",Call Back - Admin. complaint recommended,"LA NOPALERA MEXICAN RESTAURANT INC 2024 Kingsley Ave, Orange Park (Clay county), FL, 32073",Clay,clay
BURGER KING #13-1620,"March 12, 2019",Warning Issued,"BURGER KING #13-1620 2297 Kingsley Ave, Orange Park (Clay county), FL, 32073",Clay,clay
THAI GARDEN AND SUSHI,"March 11, 2019",Warning Issued,"THAI GARDEN AND SUSHI 10 Blanding Ave Ste B, Orange Park (Clay county), FL, 32073",Clay,clay
COUNTRY CABIN ORANGE PARK,"March 11, 2019",Warning Issued,"COUNTRY CABIN ORANGE PARK 789 Blanding Blvd, Orange Park (Clay county), FL, 32065",Clay,clay
CHARLIE'S SOUTHERN BISTRO,"March 5, 2019",Warning Issued,"CHARLIE'S SOUTHERN BISTRO 206 S Orange Ave, Green Cove Springs (Clay county), FL, 32043",Clay,clay
FAMOUS SANDWICHES & SUBS,"March 4, 2019",Warning Issued,"FAMOUS SANDWICHES & SUBS 862 Blanding Blvd, Orange Park (Clay county), FL, 32065",Clay,clay
HILL TOP CLUB,"March 1, 2019",Warning Issued,"HILL TOP CLUB 2030 Wells Rd, Orange Park (Clay county), FL, 320732205",Clay,clay
JIMMY HULAS,"Feb. 28, 2019",Warning Issued,"JIMMY HULAS 174 Blanding Blvd, Orange Park (Clay county), FL, 32073",Clay,clay
PASTA MARKET ITALIAN RESTAURANT AND CLAM BAR,"Feb. 27, 2019",Call Back - Admin. complaint recommended,"PASTA MARKET ITALIAN RESTAURANT AND CLAM BAR 1930 Kingsley Ave, Orange Park (Clay county), FL, 32073",Clay,clay
D'FONTANA PIZZA,"Feb. 26, 2019",Warning Issued,"D'FONTANA PIZZA 324 Ferris St, Green Cove Springs (Clay county), FL, 32043",Clay,clay
WOODY'S BAR B Q,"Feb. 26, 2019",Warning Issued,"WOODY'S BAR B Q 1301 N Orange Ave, Green Cove Springs (Clay county), FL, 32043",Clay,clay
LARRY'S GIANT SUBS,"Feb. 26, 2019",Warning Issued,"LARRY'S GIANT SUBS 1401 S Orange Ave, Green Cove Springs (Clay county), FL, 32043",Clay,clay
PASTA MARKET ITALIAN RESTAURANT AND CLAM BAR,"Feb. 25, 2019",Administrative complaint recommended,"PASTA MARKET ITALIAN RESTAURANT AND CLAM BAR 1930 Kingsley Ave, Orange Park (Clay county), FL, 32073",Clay,clay
J-VILLE SEAFOOD WINGS AND SUBS,"Feb. 25, 2019",Warning Issued,"J-VILLE SEAFOOD WINGS AND SUBS 319 Blanding Blvd, Orange Park (Clay county), FL, 32073",Clay,clay
JIMMY JOHNS,"Feb. 25, 2019",Warning Issued,"JIMMY JOHNS 280 Blanding Blvd Ste 3, Orange Park (Clay county), FL, 32073",Clay,clay
METRO DINER,"Feb. 25, 2019",Warning Issued,"METRO DINER 2034 Kingsley Ave, Orange Park (Clay county), FL, 32073",Clay,clay
GOLDEN CORRAL #607 ORANGE PARK,"Feb. 21, 2019",Warning Issued,"GOLDEN CORRAL #607 ORANGE PARK 582 Blanding Blvd, Orange Park (Clay county), FL, 32073",Clay,clay
MARGARITA'S RESTAURANT,"Feb. 19, 2019",Warning Issued,"MARGARITA'S RESTAURANT 3535 Us 17 #8, Fleming Island (Clay county), FL, 32003",Clay,clay
RUSTY PUTTER,"March 16, 2019",Warning Issued,"RUSTY PUTTER 6009 Anthem Parkway, Ave Maria (Collier county), FL, 34142",Collier,collier
GINO'S TRATTORIA PER TUTTI OF AVA MARIA INC,"March 16, 2019",Warning Issued,"GINO'S TRATTORIA PER TUTTI OF AVA MARIA INC 5080 Annunciation Cir #107, Immokalee (Collier county), FL, 34142",Collier,collier
THE ORIGINAL PANCAKE HOUSE,"March 15, 2019",Warning Issued,"ORIGINAL PANCAKE HOUSE 7941 Airport Pulling Road North, Naples (Collier county), FL, 34109",Collier,collier
TROPICAL SMOOTHIE CAFE,"March 15, 2019",Call Back - Admin. complaint recommended,"TROPICAL SMOOTHIE CAFE 5072 Annunciation Circle Ste 101, Ave Maria (Collier county), FL, 34142",Collier,collier
OSTERIA TULIA,"March 15, 2019",Warning Issued,"OSTERIA TULIA 466 5 Ave S, Naples (Collier county), FL, 34102",Collier,collier
HERITAGE BAY GOLF & COUNTRY CLUB - CHICKEE BAR,"March 14, 2019",Warning Issued,"HERITAGE BAY GOLF & COUNTRY CLUB - CHICKEE BAR 10166 Heritage Bay Blvd, Naples (Collier county), FL, 34120",Collier,collier
HERITAGE BAY GOLF & COUNTRY CLUB,"March 14, 2019",Administrative complaint recommended,"HERITAGE BAY GOLF & COUNTRY CLUB 10154 Heritage Bay Blvd, Naples (Collier county), FL, 34120",Collier,collier
TREVISO BAY COUNTRY CLUB,"March 14, 2019",Warning Issued,"TREVISO BAY COUNTRY CLUB 9800 Treviso Bay Blvd, Naples (Collier county), FL, 34113",Collier,collier
CJ'S ON THE BAY,"March 13, 2019",Warning Issued,"CJ'S ON THE BAY 740 N Collier Blvd Ste 105, Marco Island (Collier county), FL, 34145",Collier,collier
MAGURO,"March 13, 2019",Warning Issued,"MAGURO 895 Wiggins Pass Rd #6, Naples (Collier county), FL, 34110",Collier,collier
RIDGWAY BAR AND GRILL,"March 13, 2019",Warning Issued,"RIDGWAY BAR AND GRILL 1300 S Third St, Naples (Collier county), FL, 34102",Collier,collier
OLDE CYPRESS GOLF CLUB MADRID MAIN LEVEL,"March 12, 2019",Warning Issued,"OLDE CYPRESS GOLF CLUB MADRID MAIN LEVEL 7165 Treeline Dr, Naples (Collier county), FL, 34119",Collier,collier
STEVIE TOMATOS SPORTS PAGE,"March 12, 2019",Warning Issued,"STEVIE TOMATOS SPORTS PAGE 15215 Collier Blvd Unit 301-304, Naples (Collier county), FL, 34119",Collier,collier
DOREENS CUP OF JOE,"March 12, 2019",Warning Issued,"DOREENS CUP OF JOE 267 N Collier Blvd Units A B, Marco Island (Collier county), FL, 34145",Collier,collier
DYLANS DRAFTHOUSE,"March 12, 2019",Warning Issued,"DYLANS DRAFTHOUSE 1258 N Airport Pulling Rd, Naples (Collier county), FL, 34104",Collier,collier
KC AMERICAN BISTRO,"March 11, 2019",Warning Issued,"KC AMERICAN BISTRO 885 Vanderbilt Rd, Naples (Collier county), FL, 34108",Collier,collier
CROWN CATERING,"March 11, 2019",Warning Issued,"CROWN CATERING 2391 Davis Blvd, Naples (Collier county), FL, 34104",Collier,collier
IVEY HOUSE,"March 11, 2019",Warning Issued,"IVEY HOUSE 107 Camellia St, Everglades City (Collier county), FL, 34139",Collier,collier
SWEETBERRY BOWLS,"March 11, 2019",Call Back - Admin. complaint recommended,"SWEETBERRY BOWLS 9115 Strada Pl Unit #5126, Naples (Collier county), FL, 34108",Collier,collier
TRATTORIA ABRUZZO LLC,"March 11, 2019",Call Back - Admin. complaint recommended,"TRATTORIA ABRUZZO LLC 835 Vanderbilt Beach Rd, Naples (Collier county), FL, 34108",Collier,collier
NAPOLI ON THE BAY,"March 8, 2019",Warning Issued,"NAPOLI ON THE BAY 11554 E Tamiami Trl, Naples (Collier county), FL, 34113",Collier,collier
CLUB PELICAN BAY (FLOOR 1),"March 8, 2019",Warning Issued,"CLUB PELICAN BAY (FLOOR 1) 707 Gulf Park Dr Floor 1, Naples (Collier county), FL, 34108",Collier,collier
CLUB PELICAN BAY - 10TH TEE,"March 8, 2019",Warning Issued,"CLUB PELICAN BAY - 10TH TEE 707 Gulf Park Dr, Naples (Collier county), FL, 34108",Collier,collier
ENZO'S RISTORANTE ITALIANO & PIZZERIA,"March 8, 2019",Warning Issued,"ENZO'S RISTORANTE ITALIANO & PIZZERIA 4351 W Bonita Beach Rd, Bonita Springs (Collier county), FL, 34134",Collier,collier
PALUMBO'S PIZZERIA,"March 8, 2019",Warning Issued,"PALUMBO'S PIZZERIA 7711 Collier Blvd Unit 107, Naples (Collier county), FL, 34114",Collier,collier
USA LA MICHOACANA ICE CREAM,"March 7, 2019",Call Back - Admin. complaint recommended,"USA LA MICHOACANA ICE CREAM 6008 Radio Rd, Naples (Collier county), FL, 34104",Collier,collier
KOMOON THAI SUSHI & CEVICHE,"March 7, 2019",Warning Issued,"KOMOON THAI SUSHI & CEVICHE 1575 Pine Ridge Rd Unit 9, Naples (Collier county), FL, 34109",Collier,collier
PHILLY GRILLE,"March 7, 2019",Warning Issued,"PHILLY GRILLE 1000 N Collier Blvd #15, Marco Island (Collier county), FL, 34145",Collier,collier
BILL'S CAFE,"March 7, 2019",Warning Issued,"BILL'S CAFE 947 3 Ave N, Naples (Collier county), FL, 34103",Collier,collier
ADELHEIDIS RETAIL INC,"March 6, 2019",Warning Issued,"ADELHEIDIS RETAIL INC 520 Park St, Naples (Collier county), FL, 34102",Collier,collier
FLORIDIAN CLUB (THE),"March 6, 2019",Warning Issued,"FLORIDIAN CLUB (THE) 9467 Gulfshore, Naples (Collier county), FL, 34108",Collier,collier
SANTA BARBARA CAFE,"March 6, 2019",Call Back - Admin. complaint recommended,"SANTA BARBARA CAFE 5570 19th Ct Sw Ste 1, Naples (Collier county), FL, 34116",Collier,collier
JUANITAS,"March 6, 2019",Emergency order recommended,"JUANITAS 204 Boston Ave, Immokalee (Collier county), FL, 34142",Collier,collier
JUANITAS,"March 6, 2019",Emergency Order Callback Time Extension,"JUANITAS 204 Boston Ave, Immokalee (Collier county), FL, 34142",Collier,collier
FIFY'S,"March 6, 2019",Call Back - Admin. complaint recommended,"FIFY'S 320 Alachua Street, Immokalee (Collier county), FL, 34142",Collier,collier
COCOMO'S GRILL,"March 5, 2019",Warning Issued,"COCOMO'S GRILL 945 N Collier Blvd, Marco Island (Collier county), FL, 34145",Collier,collier
SANTA BARBARA CAFE,"March 5, 2019",Warning Issued,"SANTA BARBARA CAFE 5570 19th Ct Sw Ste 1, Naples (Collier county), FL, 34116",Collier,collier
QUALITY INN CHICKEE BAR,"March 5, 2019",Warning Issued,"QUALITY INN CHICKEE BAR 4100 Golden Gate Pkwy, Golden Gate (Collier county), FL, 34116",Collier,collier
BISTRO SOLEIL,"March 5, 2019",Warning Issued,"BISTRO SOLEIL 100 Palm St, Marco Island (Collier county), FL, 34145",Collier,collier
TRATTORIA ABRUZZO LLC,"March 5, 2019",Warning Issued,"TRATTORIA ABRUZZO LLC 835 Vanderbilt Beach Rd, Naples (Collier county), FL, 34108",Collier,collier
SALSA BRAVA MEXICAN GRILL,"March 4, 2019",Warning Issued,"SALSA BRAVA MEXICAN GRILL 10265 Tamiami Trail N #10, Naples (Collier county), FL, 34108",Collier,collier
NACHO MAMA'S,"March 4, 2019",Warning Issued,"NACHO MAMA'S 599 South Collier Blvd, Marco Island (Collier county), FL, 34145",Collier,collier
HAVANA SWEETS,"March 4, 2019",Call Back - Admin. complaint recommended,"HAVANA SWEETS 1900 Tamiami Trl North, Kiosk #365, Space #5568, Naples (Collier county), FL, 34102",Collier,collier
QUINNS,"March 4, 2019",Warning Issued,"QUINNS 400 S Collier Blvd, Marco Island (Collier county), FL, 34145",Collier,collier
TOKYO INN,"March 4, 2019",Warning Issued,"TOKYO INN 1825 San Marco Rd, Marco Island (Collier county), FL, 34145",Collier,collier
GOLDEN LEAF REST INC,"March 4, 2019",Warning Issued,"GOLDEN LEAF REST INC 3615 9 St N, Naples (Collier county), FL, 34103",Collier,collier
ZACK'S COURTHOUSE CAFE,"March 4, 2019",Warning Issued,"ZACK'S COURTHOUSE CAFE 3301 Tamiami Trail E, Naples (Collier county), FL, 34112",Collier,collier
CHURROLICIOUS,"March 1, 2019",Warning Issued,"CHURROLICIOUS 184 Kirkwood St, Marco Island (Collier county), FL, 34145",Collier,collier
FIFY'S,"March 1, 2019",Call Back - Admin. complaint recommended,"FIFY'S 320 Alachua Street, Immokalee (Collier county), FL, 34142",Collier,collier
THE CLUB AT BAREFOOT BEACH,"March 1, 2019",Warning Issued,"CLUB AT BAREFOOT BEACH 105 Shell Dr, Bonita Springs (Collier county), FL, 34134",Collier,collier
GROUPER & CHIPS,"March 1, 2019",Warning Issued,"GROUPER & CHIPS 338 N 9 St, Naples (Collier county), FL, 34102",Collier,collier
COSTA VERDE A TASTE OF PERU,"March 1, 2019",Administrative complaint recommended,"COSTA VERDE A TASTE OF PERU 4859 Golden Gate Pkwy, Naples (Collier county), FL, 34116",Collier,collier
MAIN KITCHEN (FISH RISTORANTE),"Feb. 28, 2019",Warning Issued,"MAIN KITCHEN (FISH RISTORANTE) 4360 Gulf Shore Blvd N Unit #600, Naples (Collier county), FL, 34103",Collier,collier
EL TAQUITO #2,"Feb. 28, 2019",Warning Issued,"EL TAQUITO #2 212 E New Market Rd, Immokalee (Collier county), FL, 34142",Collier,collier
